Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-93.0,-61.0,-86.0,-95.0,-91.0,1
-93.0,-72.0,-80.0,-95.0,-91.0,1
-93.0,-63.0,-87.0,-95.0,-91.0,1
-93.0,-63.0,-82.0,-95.0,-91.0,1
-93.0,-61.0,-84.0,-95.0,-91.0,1
-93.0,-63.0,-84.0,-95.0,-91.0,1
-93.0,-60.0,-87.0,-95.0,-91.0,1
-93.0,-82.0,-71.0,-95.0,-91.0,1
-93.0,-82.0,-77.0,-94.0,-91.0,1
-93.0,-81.0,-70.0,-94.0,-91.0,1
-93.0,-85.0,-74.0,-90.0,-91.0,1
-93.0,-85.0,-74.0,-83.0,-91.0,1
-93.0,-76.0,-88.0,-86.0,-91.0,1
-93.0,-86.0,-81.0,-90.0,-91.0,1
-93.0,-64.0,-78.0,-90.0,-91.0,1
-93.0,-79.0,-86.0,-90.0,-91.0,1
-93.0,-61.0,-82.0,-90.0,-91.0,1
-93.0,-60.0,-70.0,-90.0,-91.0,1
-66.0,-89.0,-63.0,-81.0,-62.0,2
-74.0,-89.0,-65.0,-81.0,-60.0,2
-68.0,-89.0,-62.0,-81.0,-66.0,2
-74.0,-89.0,-65.0,-81.0,-63.0,2
-74.0,-89.0,-75.0,-81.0,-71.0,2
-81.0,-89.0,-70.0,-81.0,-74.0,2
-72.0,-89.0,-64.0,-81.0,-68.0,2
-77.0,-89.0,-57.0,-81.0,-69.0,2
-87.0,-89.0,-70.0,-81.0,-65.0,2
-70.0,-89.0,-68.0,-81.0,-64.0,2
-73.0,-89.0,-66.0,-81.0,-72.0,2
-79.0,-89.0,-70.0,-81.0,-70.0,2
-73.0,-89.0,-59.0,-81.0,-69.0,2
-71.0,-89.0,-59.0,-81.0,-65.0,2
-70.0,-89.0,-67.0,-81.0,-62.0,2
-68.0,-89.0,-51.0,-81.0,-71.0,2
-74.0,-89.0,-66.0,-81.0,-79.0,2
-70.0,-89.0,-61.0,-81.0,-65.0,2
-68.0,-89.0,-62.0,-81.0,-61.0,2
-68.0,-89.0,-65.0,-81.0,-65.0,2
-64.0,-89.0,-62.0,-81.0,-64.0,2
-77.0,-89.0,-65.0,-81.0,-63.0,2
-81.0,-89.0,-62.0,-81.0,-62.0,2
-69.0,-89.0,-65.0,-81.0,-66.0,2
-66.0,-89.0,-65.0,-81.0,-63.0,2
-68.0,-89.0,-66.0,-81.0,-64.0,2
-76.0,-89.0,-63.0,-81.0,-71.0,2
-83.0,-89.0,-64.0,-81.0,-78.0,2
-87.0,-89.0,-62.0,-81.0,-73.0,2
-84.0,-89.0,-68.0,-81.0,-70.0,2
-82.0,-89.0,-62.0,-81.0,-79.0,2
-83.0,-89.0,-62.0,-81.0,-74.0,2
-71.0,-89.0,-69.0,-81.0,-66.0,2
-74.0,-89.0,-68.0,-81.0,-68.0,2
-68.0,-89.0,-66.0,-81.0,-62.0,2
-73.0,-89.0,-64.0,-81.0,-67.0,2
-70.0,-89.0,-66.0,-81.0,-65.0,2
-74.0,-89.0,-69.0,-81.0,-43.0,2
-69.0,-89.0,-63.0,-81.0,-71.0,2
-69.0,-89.0,-61.0,-81.0,-70.0,2
-70.0,-89.0,-62.0,-81.0,-81.0,2
-68.0,-89.0,-63.0,-81.0,-81.0,2
-80.0,-89.0,-64.0,-81.0,-62.0,2
-73.0,-89.0,-65.0,-81.0,-64.0,2
-72.0,-89.0,-65.0,-81.0,-64.0,2
-73.0,-89.0,-69.0,-81.0,-70.0,2
-85.0,-89.0,-76.0,-81.0,-67.0,2
-86.0,-89.0,-66.0,-81.0,-70.0,2
-88.0,-89.0,-65.0,-81.0,-73.0,2
-74.0,-89.0,-68.0,-81.0,-72.0,2
-85.0,-89.0,-62.0,-81.0,-64.0,2
-82.0,-89.0,-69.0,-81.0,-67.0,2
-74.0,-89.0,-66.0,-81.0,-76.0,2
-84.0,-89.0,-63.0,-81.0,-70.0,2
-86.0,-89.0,-70.0,-81.0,-45.0,2
-74.0,-89.0,-63.0,-81.0,-75.0,2
-78.0,-89.0,-61.0,-81.0,-68.0,2
-74.0,-89.0,-61.0,-81.0,-71.0,2
-75.0,-89.0,-63.0,-81.0,-85.0,2
-88.0,-89.0,-69.0,-81.0,-63.0,2
-83.0,-89.0,-65.0,-81.0,-70.0,2
-87.0,-89.0,-69.0,-81.0,-70.0,2
-83.0,-89.0,-65.0,-81.0,-63.0,2
-82.0,-89.0,-68.0,-81.0,-63.0,2
-85.0,-89.0,-65.0,-81.0,-66.0,2
-87.0,-89.0,-70.0,-81.0,-86.0,2
-89.0,-89.0,-67.0,-81.0,-67.0,2
-79.0,-89.0,-70.0,-81.0,-81.0,2
-85.0,-89.0,-65.0,-81.0,-70.0,2
-84.0,-89.0,-67.0,-81.0,-75.0,2
-85.0,-89.0,-67.0,-81.0,-70.0,2
-66.0,-93.0,-61.0,-81.0,-89.0,3
-62.0,-93.0,-62.0,-81.0,-87.0,3
-63.0,-93.0,-64.0,-81.0,-91.0,3
